municipio_ano,pib
17010512011,"6486,32"
17011012011,"11221,87"
17013092011,"6849,94"
17019032011,"7096,94"
17020002011,"11771,95"
17021092011,"13953,79"
17021582011,"8079,35"
17022082011,"6373,06"
17023072011,"9358,86"
17024062011,"9656,63"
17025542011,"7321,52"
17027032011,"7173,88"
17029012011,"6242,38"
17030082011,"5930,58"
17030572011,"22144,12"
17030732011,"7241,99"
17031072011,"8606,6"
17032062011,"9427,59"
17033052011,"8450,53"
17036022011,"10250,73"
17037012011,"12351,21"
17038002011,"5436,71"
17038262011,"6445,01"
17038422011,"24672,38"
17038672011,"24018,83"
17038832011,"9766,53"
17038912011,"5703,6"
17039092011,"7277,29"
17041052011,"6608,14"
17046002011,"9327,77"
17051022011,"9509,99"
17055082011,"11241,64"
17055572011,"7807,78"
17056072011,"6721,07"
17060012011,"8040,94"
17061002011,"8454,47"
17062582011,"13004,09"
17065062011,"8447,81"
17070092011,"14469,94"
17071082011,"9323,35"
17072072011,"7569,72"
17073062011,"14990,88"
17074052011,"5449,72"
17075532011,"9843,53"
17076522011,"15673,27"
17077022011,"7233,91"
17082052011,"12729,73"
17082542011,"28232,12"
17083042011,"7478,28"
17090052011,"6762,49"
17093022011,"13760,61"
17095002011,"16223,78"
17098072011,"12452,16"
17105082011,"7505,67"
17107062011,"6884,45"
17109042011,"9164,9"
17111002011,"10433,17"
17115062011,"8976,1"
17118032011,"7297,04"
17119022011,"19452,35"
17119512011,"6069,95"
17120092011,"11029,68"
17121572011,"33738,96"
17124052011,"5266,59"
17124542011,"8544,58"
17125042011,"9215,78"
17127022011,"35112,77"
17128012011,"5883,73"
17132052011,"20960,21"
17133042011,"9184,51"
17136012011,"9891,46"
17137002011,"8908,09"
17138092011,"11150,2"
17139572011,"8552,98"
17142032011,"8882,69"
17143022011,"6051,23"
17148802011,"16257,7"
17150022011,"6467,53"
17151012011,"7202,87"
17151502011,"7233,61"
17152592011,"20168,15"
17155072011,"11718,74"
17157052011,"8740,98"
17157542011,"8975,88"
17161092011,"14280,79"
17162082011,"19261,79"
17163072011,"8166,08"
17165052011,"27535,83"
17166042011,"42378,99"
17166532011,"7778,88"
17167032011,"9102,6"
17170082011,"6877,99"
17172062011,"9343,11"
17175032011,"9427,85"
17178002011,"5469,35"
17179092011,"6546,06"
17180062011,"6199,5"
17182042011,"14144,24"
17183032011,"5371,22"
17184022011,"13924,04"
17184512011,"13116,88"
17185012011,"6711,58"
17185502011,"6714,84"
17186592011,"6580,8"
17187092011,"8973,18"
17187582011,"5868,12"
17188082011,"5421,92"
17188402011,"11404,43"
17188652011,"8915,76"
17188812011,"7416,69"
17188992011,"11518,34"
17189072011,"12059,97"
17190042011,"7059,7"
17200022011,"6189,8"
17201012011,"5360,33"
17201502011,"8332,65"
17202002011,"4818,72"
17202592011,"7126,9"
17203092011,"5798,37"
17204992011,"8573,03"
17206552011,"14510,51"
17208042011,"5614,56"
17208532011,"15327,62"
17209032011,"9478,09"
17209372011,"6821,42"
17209782011,"14033,27"
17210002011,"18728,79"
17211092011,"5456,66"
17212082011,"7210,26"
17212572011,"17443,49"
17213072011,"7873,08"
17220812011,"9004,57"
17221072011,"23954,77"
21000552011,"10626,76"
21001052011,"3513,49"
21001542011,"3528,92"
21002042011,"3694,09"
21003032011,"3755,6"
21004022011,"3226,44"
21004362011,"4382,52"
21004772011,"3767,97"
21005012011,"14123,88"
21005502011,"3792,25"
21006002011,"3694,49"
21007092011,"3857,49"
21008082011,"6797,02"
21008322011,"3186,19"
21008732011,"3587,4"
21009072011,"3866,05"
21009562011,"4006,59"
21010042011,"5000,13"
21011032011,"3374,51"
21012022011,"6454,51"
21012512011,"19136,45"
21013012011,"3137,8"
21013502011,"4252,15"
21014002011,"18034,09"
21015092011,"5438,39"
21016082011,"4570,91"
21017072011,4271
21017312011,"5129,39"
21017722011,"3415,58"
21018062011,"3826,07"
21019052011,"3351,3"
21019392011,"5098,05"
21019702011,"3902,5"
21020022011,"4541,14"
21020362011,"5119,16"
21020772011,"3531,68"
21021012011,"4991,5"
21021502011,"8263,82"
21022002011,"4644,26"
21023092011,"3440,18"
21023252011,"4652,56"
21023582011,"3377,08"
21023742011,"3505,37"
21024082011,"3193,94"
21025072011,"3516,25"
21025562011,"4530,15"
21026062011,"3440,63"
21027052011,"3725,16"
21027542011,"5233,22"
21028042011,"6198,77"
21029032011,"4057,16"
21030002011,"6955,91"
21031092011,"3419,27"
21031252011,"3173,12"
21031582011,"3635,74"
21031742011,"4356,9"
21032082011,"5200,51"
21032572011,"5408,94"
21033072011,"5453,25"
21034062011,"4405,8"
21035052011,"4999,83"
21035542011,"4274,92"
